,JOB_TITLE,Company_Name,link,Location,Time
0,Data Analyst / Business Analyst - (Freshers Batch),Elitemet Solutions,https://in.linkedin.com/company/elitemet-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,India,4 days ago
1,Assistant Manager - Data / Business Analyst,Tata Cummins,https://www.linkedin.com/company/tata-cummins?trk=public_jobs_jserp-result_job-search-card-subtitle,"Noida, Uttar Pradesh, India",2 weeks ago
2,Data Analyst – Supply Chain- Power BI,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,Pune/Pimpri-Chinchwad Area,1 week ago
3,Analyst,HiveMinds,https://in.linkedin.com/company/hiveminds-innovative-market-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gurgaon, Haryana, India",6 days ago
4,Business Data Analyst,Anblicks,https://www.linkedin.com/company/anblicks?trk=public_jobs_jserp-result_job-search-card-subtitle,"Hyderabad, Telangana, India",2 months ago
5,Analyst / Sr Analyst - Performance Marketing Analytics,Global Talent Exchange,https://in.linkedin.com/company/globaltalex?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",3 days ago
6,Interesting Job Opportunity: Arzooo - Business Analyst,Arzooo,https://in.linkedin.com/company/arzooo?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",2 months ago
7,Data Analyst - Youtube and Social Media,Cocoma Digital,https://in.linkedin.com/company/cocomadigital?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",4 months ago
8,Digital Analyst,Tamcherry - Zaportiv,https://in.linkedin.com/company/tamcherry-zaportiv?trk=public_jobs_jserp-result_job-search-card-subtitle,Mumbai Metropolitan Region,3 months ago
9,SEM Analyst,Acme Services,https://in.linkedin.com/company/acmeservices?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",2 weeks ago
10,Senior Analyst - Paid Social,dentsu,https://jp.linkedin.com/company/dentsu?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",3 months ago
11,Data Analyst - Sales & Marketing,United HR Solutions Pvt. Ltd.,https://in.linkedin.com/company/unitedhrsolutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Ahmedabad, Gujarat, India",2 months ago
12,Paid Ads Analyst,izmo ltd,https://in.linkedin.com/company/izmo-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",4 months ago
13,Digital Listening – Analyst,ITC Limited,https://in.linkedin.com/company/itc-limited?trk=public_jobs_jserp-result_job-search-card-subtitle,Greater Kolkata Area,3 months ago
14,Supply chain BI Data Analyst,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",https://in.linkedin.com/company/boyenhaddin?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chennai, Tamil Nadu, India",4 months ago
15,SEM Analyst,ReachLocal India,https://in.linkedin.com/company/reachlocal-india?trk=public_jobs_jserp-result_job-search-card-subtitle,"Mumbai, Maharashtra, India",1 month ago
16,Business Analytics Analyst - C10,Citi,https://www.linkedin.com/company/citi?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bengaluru, Karnataka, India",2 weeks ago
